rank,recommendation_id,action_type,target_type,target_id,priority,status,trigger,reason,evidence_summary,source_view,created_at,orders,revenue,monetary_value,recency_days,low_review_rate,late_delivery_rate,avg_review_score,seller_reliability_score,revenue_share,avg_delay_days
1,REC-0001,CreateCustomerWinbackCampaign,CustomerSegment,Dormant High Value,High,proposed,"segment in [""Dormant High Value"", ""At Risk""] and customers >= 100",Customer segment has enough dormant or at-risk value to justify a winback campaign proposal.,"customers=14771; revenue=4,605,388.98; revenue_share=29.26%; avg_recency_days=399.3",rfm_segment_summary,2026-06-02,,4605388.98,,399.3,,,,,0.2926,
2,REC-0002,CreateCustomerWinbackCampaign,CustomerSegment,At Risk,High,proposed,"segment in [""Dormant High Value"", ""At Risk""] and customers >= 100",Customer segment has enough dormant or at-risk value to justify a winback campaign proposal.,"customers=13781; revenue=1,009,412.34; revenue_share=6.41%; avg_recency_days=400.8",rfm_segment_summary,2026-06-02,,1009412.34,,400.8,,,,,0.0641,
3,REC-0003,SendReactivationOffer,Customer,0a0a92112bd4c708ca5fde585afaa872,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=13,664.08; recency_days=339; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,13664.08,339.0,,,,,,
4,REC-0004,SendReactivationOffer,Customer,da122df9eeddfedc1dc1f5349a1a690c,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=7,571.63; recency_days=520; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,7571.63,520.0,,,,,,
5,REC-0005,SendReactivationOffer,Customer,dc4802a71eae9be1dd28f5d788ceb526,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=6,929.31; recency_days=568; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,6929.31,568.0,,,,,,
6,REC-0006,SendReactivationOffer,Customer,ff4159b92c40ebe40454e3e6a7c35ed6,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=6,726.66; recency_days=467; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,6726.66,467.0,,,,,,
7,REC-0007,SendReactivationOffer,Customer,4007669dec559734d6f53e029e360987,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=6,081.54; recency_days=283; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,6081.54,283.0,,,,,,
8,REC-0008,SendReactivationOffer,Customer,eebb5dda148d3893cdaf5b5ca3040ccb,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=4,764.34; recency_days=503; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,4764.34,503.0,,,,,,
9,REC-0009,SendReactivationOffer,Customer,edf81e1f3070b9dac83ec83dacdbb9bc,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=4,194.76; recency_days=503; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,4194.76,503.0,,,,,,
10,REC-0010,SendReactivationOffer,Customer,5e713be0853d8986528d7869a0811d2b,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=4,042.74; recency_days=576; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,4042.74,576.0,,,,,,
